ID	Gene_Symbol	U133A_Gene?	Subtyping_Signature_Gene?
584	ARHGDIA	YES	
585	ARHGEF1	YES	
586	ARHGEF10	YES	
587	ARHGEF10L	YES	
588	ARHGEF11	YES	
589	ARHGEF12	YES	
590	ARHGEF16	YES	
591	ARHGEF18	YES	
592	ARHGEF19		
593	ARHGEF2	YES	
594	ARHGEF26		
595	ARHGEF38		
596	ARHGEF4	YES	
597	ARHGEF40		
598	ARHGEF6	YES	
599	ARHGEF7	YES	
600	ARID1A	YES	
601	ARID1B		
602	ARID2		
603	ARID3A	YES	
604	ARID3B	YES	
605	ARID4A	YES	
606	ARID4B	YES	
607	ARID5A	YES	
608	ARIH2	YES	
609	ARL10		
610	ARL13B		
611	ARL15	YES	
612	ARL16		
613	ARL17A		
614	ARL2	YES	
615	ARL2BP	YES	
616	ARL4A	YES	
617	ARL4C	YES	
618	ARL4D	YES	
619	ARL5A	YES	
620	ARL5B		
621	ARL6IP1	YES	
622	ARL6IP4	YES	
623	ARL6IP6		
624	ARL8A		
625	ARMC1	YES	
626	ARMC10		
627	ARMC2		
628	ARMC3		
629	ARMC4		
630	ARMC5		
631	ARMC6	YES	
632	ARMC7	YES	
633	ARMC9	YES	
634	ARMCX2	YES	
635	ARMCX4		
636	ARMCX5	YES	
637	ARMCX6	YES	
638	ARNT	YES	
639	ARNTL	YES	Classical
640	ARNTL2	YES	
641	ARPC1A	YES	
642	ARPC1B	YES	Mesenchymal
643	ARPC2	YES	
644	ARPC3	YES	
645	ARPC4	YES	
646	ARPC5	YES	
647	ARPC5L	YES	
648	ARR3	YES	
649	ARRB2	YES	
650	ARRDC1		
651	ARRDC3		
652	ARRDC4		
653	ARSA	YES	
654	ARSB	YES	
655	ARSD	YES	
656	ARSE	YES	
657	ARSG		
658	ARSI		
659	ARSJ	YES	
660	ARSK		
661	ART3	YES	
662	ART4	YES	
663	ARV1		
664	ARVCF	YES	
665	ARX		
666	AS3MT		
667	ASAH1	YES	
668	ASAH2B		
669	ASAP1		
670	ASAP2		
671	ASAP3		
672	ASB1	YES	
673	ASB11		
674	ASB13	YES	
675	ASB14		
676	ASB16		
677	ASB3		
678	ASB6	YES	
679	ASB7	YES	
680	ASB8	YES	
681	ASCC1	YES	
682	ASCC2	YES	
683	ASCC3	YES	
684	ASCL1	YES	
685	ASF1A		
686	ASF1B	YES	
687	ASGR1	YES	
688	ASH1L	YES	
689	ASH2L	YES	
690	ASL	YES	
691	ASNA1	YES	
692	ASNSD1	YES	
693	ASPHD1	YES	
694	ASPHD2		
695	ASPM	YES	
696	ASPSCR1	YES	
697	ASTE1	YES	
698	ASTN1	YES	
699	ASXL1	YES	
700	ASXL2	YES	
701	ASXL3		
702	ATAD2	YES	
703	ATAD2B	YES	
704	ATAD3A	YES	
