ID	Gene_Symbol	U133A_Gene?	Subtyping_Signature_Gene?
2424	CUEDC2	YES	
2425	CUL1	YES	
2426	CUL2	YES	
2427	CUL3	YES	
2428	CUL4A	YES	
2429	CUL4B	YES	
2430	CUL5	YES	
2431	CUL7	YES	
2432	CUL9		
2433	CUTA	YES	
2434	CUTC	YES	
2435	CUX1		
2436	CWC22		
2437	CWC25		
2438	CWC27		
2439	CWF19L1	YES	
2440	CWF19L2		
2441	CWH43		
2442	CX3CL1	YES	
2443	CXADR	YES	
2444	CXCL11	YES	
2445	CXCL16		
2446	CXCL5	YES	
2447	CXCL9	YES	
2448	CXCR4	YES	
2449	CXCR6	YES	
2450	CXCR7	YES	
2451	CXorf1	YES	
2452	CXorf23		
2453	CXorf26		
2454	CXorf28		
2455	CXorf31		
2456	CXorf38		
2457	CXorf56	YES	
2458	CXorf57	YES	
2459	CXorf58		
2460	CXXC1	YES	
2461	CXXC4	YES	
2462	CXXC5		
2463	CYB561	YES	
2464	CYB561D1		
2465	CYB561D2	YES	
2466	CYB5A	YES	
2467	CYB5B	YES	
2468	CYB5D1		
2469	CYB5D2		
2470	CYB5R1	YES	
2471	CYB5R2	YES	
2472	CYB5R3	YES	
2473	CYB5R4	YES	
2474	CYB5RL		
2475	CYBASC3		
2476	CYBRD1	YES	
2477	CYC1	YES	
2478	CYCS	YES	
2479	CYFIP1	YES	
2480	CYGB		
2481	CYHR1		
2482	CYP1B1	YES	Mesenchymal
2483	CYP20A1	YES	
2484	CYP27A1	YES	
2485	CYP27B1	YES	
2486	CYP27C1		
2487	CYP2D6		
2488	CYP2F1	YES	
2489	CYP2J2	YES	
2490	CYP2R1		
2491	CYP2U1		
2492	CYP39A1	YES	
2493	CYP3A5	YES	
2494	CYP46A1	YES	
2495	CYP4F12	YES	
2496	CYP4V2		
2497	CYP51A1	YES	
2498	CYTH1		
2499	CYTH2		
2500	CYTH3		
2501	CYTIP		
2502	CYTL1	YES	
2503	D2HGDH		
2504	DAAM1	YES	
2505	DAB1	YES	
2506	DAB2IP		
2507	DACH1	YES	Proneural
2508	DACT1	YES	
2509	DACT3		
2510	DAD1	YES	
2511	DAG1	YES	
2512	DAGLA	YES	
2513	DAGLB		
2514	DAK	YES	
2515	DALRD3	YES	
2516	DAND5		
2517	DAP	YES	
2518	DAP3	YES	
2519	DAPK2	YES	
2520	DAPK3	YES	
2521	DAPL1		
2522	DARS	YES	
2523	DARS2	YES	
2524	DAXX	YES	
2525	DAZAP1	YES	
2526	DAZAP2	YES	
2527	DBF4	YES	
2528	DBF4B	YES	
2529	DBI	YES	
2530	DBN1	YES	
2531	DBNDD1	YES	
2532	DBNDD2	YES	
2533	DBNL		
2534	DBP	YES	
2535	DBR1	YES	
2536	DBT	YES	
2537	DCAF10		
2538	DCAF11		
2539	DCAF12		
2540	DCAF13		
2541	DCAF15		
2542	DCAF16		
2543	DCAF17		
2544	DCAF4		
2545	DCAF4L2		
2546	DCAF5		
2547	DCAF7		
2548	DCAF8		
2549	DCAKD	YES	
2550	DCBLD1		
2551	DCBLD2	YES	
2552	DCC	YES	
2553	DCDC1		
2554	DCDC2		
2555	DCDC2B		
2556	DCDC5		
2557	DCHS1	YES	
2558	DCHS2	YES	
2559	DCK	YES	
2560	DCLK1	YES	
2561	DCLK2		
2562	DCLRE1A	YES	
2563	DCLRE1B	YES	
2564	DCLRE1C	YES	
2565	DCP1B		
2566	DCP2	YES	
2567	DCPS	YES	
2568	DCT	YES	
2569	DCTD	YES	
2570	DCTN1	YES	
2571	DCTN2	YES	
2572	DCTN3	YES	Proneural
2573	DCTN4	YES	
2574	DCTN5	YES	
2575	DCTPP1		
2576	DCUN1D1	YES	
2577	DCUN1D2	YES	
2578	DCUN1D3		
2579	DCX	YES	
2580	DCXR	YES	
2581	DDA1		
2582	DDAH2	YES	
2583	DDB1	YES	
2584	DDB2	YES	
2585	DDHD1		
2586	DDI2		
2587	DDIT3	YES	
2588	DDIT4	YES	
2589	DDIT4L		
2590	DDOST	YES	
2591	DDR1	YES	
2592	DDR2	YES	
2593	DDRGK1		
2594	DDTL		
2595	DDX1	YES	
2596	DDX10	YES	
2597	DDX11	YES	
2598	DDX17	YES	
2599	DDX18	YES	
2600	DDX19A	YES	
2601	DDX19B		
2602	DDX20		
2603	DDX21	YES	
2604	DDX23	YES	
2605	DDX24	YES	
2606	DDX26B		
2607	DDX27	YES	
2608	DDX28	YES	
2609	DDX31	YES	
2610	DDX39A		
2611	DDX39B		
2612	DDX3X	YES	
2613	DDX3Y	YES	
2614	DDX41	YES	
2615	DDX42	YES	
2616	DDX43	YES	
2617	DDX46	YES	
2618	DDX47	YES	
2619	DDX49	YES	
2620	DDX5	YES	
2621	DDX50	YES	
2622	DDX51	YES	
2623	DDX52	YES	
2624	DDX54	YES	
2625	DDX55		
2626	DDX56	YES	
2627	DDX58	YES	
2628	DDX59		
2629	DDX6	YES	
2630	DDX60		
2631	DDX60L		
2632	DEAF1	YES	
2633	DECR1	YES	
2634	DECR2	YES	
2635	DEDD	YES	
2636	DEDD2		
2637	DEF8	YES	
2638	DEGS1	YES	
2639	DEK	YES	
2640	DEM1		
2641	DENND1A	YES	
2642	DENND1B		
2643	DENND2A	YES	Classical
2644	DENND2C		
2645	DENND2D	YES	
2646	DENND4A	YES	
2647	DENND4C	YES	
2648	DENND5A		
2649	DENR	YES	
2650	DEPDC1	YES	
2651	DEPDC1B		
2652	DEPDC4		
2653	DEPDC5	YES	
2654	DEPDC7		
2655	DEPTOR		
2656	DERA	YES	
2657	DERL1	YES	
2658	DERL2	YES	
2659	DERL3		
2660	DET1	YES	
2661	DEXI	YES	
2662	DFFA	YES	
2663	DFFB	YES	
2664	DFNA5	YES	
2665	DFNB31	YES	
2666	DFNB59		
2667	DGAT1	YES	
2668	DGAT2		
2669	DGCR14	YES	
2670	DGCR2	YES	
2671	DGCR6		
2672	DGCR6L	YES	
2673	DGCR8	YES	
2674	DGKA	YES	
2675	DGKD	YES	
2676	DGKG	YES	
2677	DGKH		
2678	DGKI	YES	
2679	DGKQ	YES	
2680	DGUOK	YES	
2681	DHCR7	YES	
2682	DHDDS	YES	
2683	DHDH		
2684	DHFR	YES	
2685	DHFRL1		
2686	DHODH	YES	
2687	DHPS	YES	
2688	DHRS1	YES	
2689	DHRS11		
2690	DHRS12	YES	
2691	DHRS13		
2692	DHRS3	YES	
2693	DHRS4		
2694	DHRS4L2		
2695	DHRS7	YES	
2696	DHRS7B	YES	
2697	DHTKD1	YES	
2698	DHX15	YES	
2699	DHX16	YES	
2700	DHX29	YES	
2701	DHX30	YES	
2702	DHX32	YES	
2703	DHX33		
2704	DHX34	YES	
2705	DHX35	YES	
2706	DHX36		
2707	DHX37		
2708	DHX38	YES	
2709	DHX40	YES	
2710	DHX57	YES	
2711	DHX58	YES	
2712	DHX8	YES	
2713	DHX9	YES	
2714	DIABLO	YES	
2715	DIAPH1	YES	
2716	DIAPH2	YES	
2717	DIAPH3		
2718	DICER1	YES	
2719	DIDO1	YES	
2720	DIEXF		
2721	DIO2	YES	
2722	DIP2A		
2723	DIP2B		
2724	DIRAS1		
2725	DIRAS3	YES	
2726	DIRC2		
2727	DIS3	YES	
2728	DIS3L		
2729	DIS3L2		
2730	DISC1	YES	
2731	DISP1		
2732	DISP2		
2733	DKC1	YES	
2734	DKKL1	YES	
2735	DLAT	YES	
2736	DLC1	YES	
2737	DLEC1	YES	
2738	DLEU1	YES	
2739	DLEU2L		
2740	DLEU7		
2741	DLG4	YES	
2742	DLG5	YES	
2743	DLGAP3		
2744	DLGAP4	YES	
2745	DLGAP5		
2746	DLK2	YES	
2747	DLL1		
2748	DLL3	YES	
2749	DLST	YES	
2750	DLX1		
2751	DLX2	YES	
2752	DMAP1		
2753	DMBX1		
2754	DMC1	YES	
2755	DMD	YES	
2756	DMKN		
2757	DMPK	YES	
2758	DMRT1	YES	
2759	DMRTA1		
2760	DMRTA2		
2761	DMTF1	YES	
2762	DMWD	YES	
2763	DMXL1	YES	
2764	DNA2		
2765	DNAAF2		
2766	DNAH1		
2767	DNAH10		
2768	DNAH11		
2769	DNAH12		
2770	DNAH14		
2771	DNAH2	YES	
2772	DNAH3	YES	
2773	DNAH7	YES	
2774	DNAH9	YES	
2775	DNAJA3	YES	
2776	DNAJB1	YES	
2777	DNAJB11		
2778	DNAJB12	YES	
2779	DNAJB13		
2780	DNAJB2	YES	
2781	DNAJB5	YES	
2782	DNAJB7		
2783	DNAJC1	YES	
2784	DNAJC10	YES	
2785	DNAJC11		
2786	DNAJC13	YES	
2787	DNAJC14		
2788	DNAJC15	YES	
2789	DNAJC16	YES	
2790	DNAJC17	YES	
2791	DNAJC2		
2792	DNAJC21		
2793	DNAJC22		
2794	DNAJC24		
2795	DNAJC25		
2796	DNAJC3	YES	
2797	DNAJC30		
2798	DNAJC4	YES	
2799	DNAJC7	YES	
2800	DNAJC8	YES	
2801	DNAJC9		
2802	DNAL1		
2803	DNAL4	YES	
2804	DNALI1	YES	
2805	DNASE1	YES	
2806	DNASE1L1		
2807	DNASE2	YES	
2808	DND1	YES	
2809	DNER		
2810	DNHD1		
2811	DNLZ		
2812	DNM1L	YES	
2813	DNM2	YES	
2814	DNM3	YES	
2815	DNMBP	YES	
2816	DNMT1	YES	
2817	DNMT3A	YES	
2818	DNMT3B	YES	
2819	DNPEP	YES	
2820	DNTTIP1		
2821	DNTTIP2	YES	
2822	DOCK1	YES	
2823	DOCK10	YES	
2824	DOCK11		
2825	DOCK4	YES	
2826	DOCK6	YES	
2827	DOCK7		
2828	DOK1	YES	
2829	DOK4	YES	
2830	DOK5	YES	
2831	DOLK	YES	
2832	DOLPP1	YES	
2833	DOM3Z	YES	
2834	DONSON	YES	
2835	DOPEY1	YES	
2836	DOPEY2	YES	
2837	DOT1L	YES	
2838	DPAGT1	YES	
2839	DPF1	YES	
2840	DPF2	YES	
2841	DPF3		
2842	DPH1		
2843	DPH2	YES	
2844	DPH3		
2845	DPH5	YES	
2846	DPM1	YES	
2847	DPM2	YES	
2848	DPM3	YES	
2849	DPP3	YES	
2850	DPP4	YES	
2851	DPP6	YES	
2852	DPP7		
2853	DPP9		
2854	DPPA2		
2855	DPY19L1	YES	
2856	DPY19L2		
2857	DPY19L3		
2858	DPY19L4	YES	
2859	DPY30		
2860	DPYD	YES	
2861	DPYSL3	YES	
2862	DPYSL4	YES	
2863	DPYSL5		
2864	DQX1		
2865	DR1	YES	
2866	DRAM1		
2867	DRAM2		
2868	DRAP1	YES	
2869	DRD2	YES	
2870	DRG1	YES	
2871	DRG2	YES	
2872	DROSHA		
2873	DRP2	YES	
2874	DSC2	YES	
2875	DSCAM	YES	
2876	DSCAML1		
2877	DSCC1		
2878	DSCR3	YES	
2879	DSCR6	YES	
2880	DSE	YES	
2881	DSEL		
2882	DSG2		
2883	DSN1	YES	
2884	DST	YES	
2885	DSTYK		
2886	DTD1		
2887	DTHD1		
2888	DTL	YES	
2889	DTNA	YES	Classical
2890	DTNB	YES	
2891	DTWD1	YES	
2892	DTWD2		
2893	DTX1		
2894	DTX3	YES	
2895	DTX3L		
2896	DTX4	YES	
2897	DTYMK	YES	
2898	DUOX1	YES	
2899	DUS1L	YES	
2900	DUS2L	YES	
2901	DUS3L		
2902	DUS4L	YES	
2903	DUSP10	YES	
2904	DUSP11	YES	
2905	DUSP12	YES	
2906	DUSP14	YES	
2907	DUSP15		
2908	DUSP16		
2909	DUSP18		
2910	DUSP19		
2911	DUSP22	YES	
2912	DUSP26	YES	
2913	DUSP28		
2914	DUSP3	YES	
2915	DUSP4	YES	
2916	DUSP5	YES	
2917	DUSP6	YES	
2918	DUSP8	YES	
2919	DUT	YES	
2920	DUXA		
2921	DVL1	YES	
2922	DVL2	YES	
2923	DVL3	YES	
2924	DYM		
2925	DYNC1H1	YES	
2926	DYNC1I2	YES	
2927	DYNC1LI2	YES	
2928	DYNC2H1	YES	
2929	DYNLL2		
2930	DYNLRB1	YES	
2931	DYNLT1	YES	
2932	DYRK1A	YES	
2933	DYRK1B	YES	
2934	DYRK2	YES	
2935	DYRK3	YES	
2936	DYRK4	YES	
2937	DYX1C1		
2938	DZIP1	YES	
2939	DZIP1L		
2940	E2F1	YES	
2941	E2F2	YES	
2942	E2F3	YES	
2943	E2F4	YES	
2944	E2F5	YES	
2945	E2F6	YES	
2946	E2F7		
2947	E2F8	YES	
2948	E4F1	YES	
2949	EAF2	YES	
2950	EARS2		
2951	EBAG9	YES	
2952	EBF1		
2953	EBF2	YES	
2954	EBF3		
2955	EBF4		
2956	EBLN2		
2957	EBP	YES	
2958	EBPL		
2959	ECD	YES	
2960	ECE1	YES	
2961	ECE2	YES	
2962	ECH1	YES	
2963	ECHDC1	YES	
2964	ECI1		
2965	ECI2		
2966	ECM1	YES	
2967	ECSIT	YES	
2968	ECT2	YES	
2969	EDA2R	YES	
2970	EDARADD		
2971	EDC3	YES	
2972	EDC4	YES	
2973	EDEM1	YES	
2974	EDEM2	YES	
2975	EDEM3	YES	
2976	EDF1	YES	
2977	EDNRB	YES	
2978	EEA1	YES	
2979	EED	YES	
2980	EEF1A1	YES	
2981	EEF1A2	YES	
2982	EEF1B2		
2983	EEF1D	YES	
2984	EEF1G	YES	
2985	EEF2	YES	
2986	EEF2K		
2987	EEFSEC		
2988	EEPD1		
2989	EFCAB10		
2990	EFCAB11		
2991	EFCAB2	YES	
2992	EFCAB4A		
2993	EFCAB5		
2994	EFCAB6	YES	
2995	EFCAB7		
2996	EFCAB9		
2997	EFEMP1	YES	
2998	EFEMP2	YES	
2999	EFHA1	YES	
3000	EFHC1	YES	
3001	EFHC2	YES	
3002	EFHD2	YES	
3003	EFNA1	YES	
3004	EFNA2	YES	
3005	EFNA3	YES	
3006	EFNA4	YES	
3007	EFNB1	YES	
3008	EFNB2	YES	
3009	EFNB3	YES	
3010	EFS	YES	
3011	EFTUD1	YES	
3012	EFTUD2		
3013	EGF	YES	
3014	EGFR	YES	
3015	EGLN2	YES	
3016	EGR2	YES	
3017	EHBP1	YES	
3018	EHBP1L1	YES	
3019	EHD1	YES	
3020	EHD2	YES	
3021	EHD4	YES	
3022	EHF	YES	
3023	EHHADH	YES	
3024	EHMT1	YES	
3025	EHMT2	YES	
3026	EI24	YES	
3027	EID2		
3028	EID2B		
3029	EID3		
3030	EIF1	YES	
3031	EIF1AD		
3032	EIF1AX	YES	
3033	EIF1AY	YES	
3034	EIF2A		
3035	EIF2AK1	YES	
3036	EIF2AK2	YES	
3037	EIF2AK3	YES	
3038	EIF2AK4		
3039	EIF2B1	YES	
3040	EIF2B2	YES	
3041	EIF2B3	YES	
3042	EIF2B4	YES	
3043	EIF2B5	YES	
3044	EIF2C1	YES	
3045	EIF2C2		
3046	EIF2C3	YES	
3047	EIF2C4	YES	
3048	EIF2D		
3049	EIF2S1	YES	
3050	EIF2S2	YES	
3051	EIF2S3	YES	
3052	EIF3B	YES	
3053	EIF3D	YES	
3054	EIF3E	YES	
3055	EIF3F	YES	
3056	EIF3G	YES	
3057	EIF3H	YES	
3058	EIF3I	YES	
3059	EIF3J	YES	
3060	EIF3K	YES	
3061	EIF3L		
3062	EIF3M	YES	
3063	EIF4A3	YES	
3064	EIF4B	YES	
3065	EIF4E	YES	
3066	EIF4E2	YES	
3067	EIF4EBP1	YES	
3068	EIF4EBP2	YES	
3069	EIF4EBP3		
3070	EIF4ENIF1	YES	
3071	EIF4G1	YES	
3072	EIF4G2	YES	
3073	EIF4G3	YES	
3074	EIF4H	YES	
3075	EIF5	YES	
3076	EIF5A	YES	
3077	EIF5A2	YES	
3078	EIF5AL1		
3079	EIF5B	YES	
3080	EIF6	YES	
3081	ELAC1	YES	
3082	ELAC2	YES	
3083	ELAVL1	YES	
3084	ELAVL3	YES	
3085	ELAVL4	YES	
3086	ELF1	YES	
3087	ELF2	YES	
3088	ELF3	YES	
3089	ELF4	YES	
3090	ELK3	YES	
3091	ELK4	YES	
3092	ELL	YES	
3093	ELL3	YES	
3094	ELMO2	YES	
3095	ELMOD2		
3096	ELMOD3		
3097	ELN	YES	
3098	ELOF1		
3099	ELOVL1	YES	
3100	ELOVL2	YES	Classical
3101	ELOVL5	YES	
3102	ELOVL6	YES	
3103	ELOVL7		
3104	ELP2		
3105	ELP3	YES	
3106	ELP4	YES	
3107	ELTD1	YES	
3108	EMD	YES	
3109	EME1		
3110	EMID1	YES	
3111	EMILIN1	YES	
3112	EMILIN3		
3113	EML2	YES	
3114	EML3	YES	
3115	EML4	YES	
3116	EML5		
3117	EML6		
3118	EMP1	YES	
3119	EMP2	YES	
3120	EMP3	YES	
3121	EN1	YES	
3122	EN2	YES	
3123	ENAH	YES	
3124	ENAM		
3125	ENDOD1	YES	
3126	ENDOG		
3127	ENDOU		
3128	ENDOV		
3129	ENGASE		
3130	ENKUR		
3131	ENO1	YES	
3132	ENO2	YES	
3133	ENO3	YES	
3134	ENOPH1	YES	
3135	ENOSF1	YES	
3136	ENOX1	YES	
3137	ENOX2	YES	
3138	ENPP1	YES	
3139	ENPP4	YES	
3140	ENPP6		
3141	ENTPD4	YES	
3142	ENTPD5	YES	
3143	ENTPD7	YES	
3144	ENY2	YES	
3145	EP300	YES	
3146	EP400	YES	
3147	EP400NL		
3148	EPAS1	YES	
3149	EPB41	YES	
3150	EPB41L1	YES	
3151	EPB41L2	YES	
3152	EPB41L4A	YES	
3153	EPB41L5	YES	
3154	EPB49	YES	
3155	EPC1		
3156	EPC2		
3157	EPDR1		
3158	EPG5		
3159	EPGN		
3160	EPHA1	YES	
3161	EPHA10		
3162	EPHA2	YES	
3163	EPHA3	YES	
3164	EPHB1	YES	Proneural
3165	EPHB2	YES	
3166	EPHB3	YES	
3167	EPHB4	YES	
3168	EPHX1	YES	
3169	EPHX2	YES	
3170	EPM2A	YES	
3171	EPM2AIP1	YES	
3172	EPN1	YES	
3173	EPN2	YES	
3174	EPOR	YES	
3175	EPPK1		
3176	EPRS	YES	
3177	EPS15L1	YES	
3178	EPS8	YES	
3179	EPS8L1	YES	
3180	EPS8L2	YES	
3181	ERAL1	YES	
3182	ERAP1		
3183	ERAP2		
3184	ERBB2	YES	
3185	ERBB2IP	YES	
3186	ERBB3	YES	Proneural
3187	ERBB4	YES	
3188	ERC1	YES	
3189	ERCC1	YES	
3190	ERCC2	YES	
3191	ERCC3	YES	
3192	ERCC4	YES	
3193	ERCC5	YES	
3194	ERCC6	YES	
3195	ERCC6L	YES	
3196	ERCC8	YES	
3197	EREG	YES	
3198	ERF	YES	
3199	ERGIC1		
3200	ERGIC2	YES	
3201	ERGIC3	YES	
3202	ERH	YES	
3203	ERI1		
3204	ERI2		
3205	ERI3		
3206	ERICH1		
3207	ERLEC1		
3208	ERLIN1	YES	
3209	ERLIN2	YES	
3210	ERMAP	YES	
3211	ERMP1	YES	
3212	ERN1	YES	
3213	ERN2	YES	
3214	ERO1L	YES	
3215	ERP29	YES	
3216	ERP44		
3217	ERRFI1		
3218	ERV3-1		
3219	ERVFRD-1		
3220	ESCO1		
3221	ESCO2		
3222	ESD	YES	
3223	ESF1	YES	
3224	ESPL1	YES	
3225	ESPN		
3226	ESR2	YES	
3227	ESRP2		
3228	ESRRA	YES	
3229	ESRRB		
3230	ESRRG	YES	
3231	ESYT1		
3232	ESYT2		
3233	ESYT3		
3234	ETAA1	YES	
3235	ETF1	YES	
3236	ETFA	YES	
3237	ETFB	YES	
3238	ETFDH	YES	
3239	ETHE1	YES	
3240	ETNK2	YES	
3241	ETS1	YES	
3242	ETV1	YES	
3243	ETV2	YES	
3244	ETV3	YES	
3245	ETV3L		
3246	ETV4	YES	
3247	ETV5	YES	
3248	ETV6	YES	
3249	ETV7	YES	
3250	EVC	YES	
3251	EVC2		
3252	EVI5	YES	
3253	EVI5L		
3254	EVL	YES	
3255	EWSR1	YES	
3256	EXD1		
3257	EXD2		
3258	EXD3		
3259	EXO1	YES	
3260	EXOC1	YES	
3261	EXOC2	YES	
3262	EXOC3	YES	
3263	EXOC4		
3264	EXOC5	YES	
3265	EXOC6B	YES	
3266	EXOC7	YES	
3267	EXOG		
3268	EXOSC1		
3269	EXOSC10	YES	
3270	EXOSC2	YES	
3271	EXOSC3		
3272	EXOSC4	YES	
3273	EXOSC5	YES	
3274	EXOSC6		
3275	EXOSC7	YES	
3276	EXOSC8	YES	
3277	EXOSC9	YES	
3278	EXPH5	YES	
3279	EXT1	YES	
3280	EXT2	YES	
3281	EXTL1	YES	
3282	EXTL2	YES	
3283	EXTL3	YES	
3284	EYA1	YES	
3285	EYA2	YES	Classical
3286	EYA3	YES	
3287	EYA4	YES	
3288	EYS		
3289	EZH2	YES	
3290	EZR		
3291	F11R	YES	
3292	F2	YES	
3293	F2R	YES	
3294	F2RL1	YES	
3295	F2RL2	YES	
3296	F3	YES	
3297	FA2H	YES	
3298	FAAH2		
3299	FABP4	YES	
3300	FABP5	YES	
3301	FABP7	YES	
3302	FADD	YES	
3303	FADS1	YES	
3304	FADS2	YES	
3305	FADS3	YES	
3306	FAF1	YES	
3307	FAF2		
3308	FAH	YES	
3309	FAHD1		
3310	FAHD2A	YES	
3311	FAIM	YES	
3312	FAIM2	YES	
3313	FAM100B		
3314	FAM101B		
3315	FAM102A	YES	
3316	FAM104A		
3317	FAM104B		
3318	FAM105B		
3319	FAM107B		
3320	FAM108B1	YES	
3321	FAM108C1		
3322	FAM109A		
3323	FAM110A		
3324	FAM110B	YES	
3325	FAM111A	YES	
3326	FAM111B		
3327	FAM114A1		
3328	FAM114A2		
3329	FAM115A	YES	
3330	FAM115C		
3331	FAM116A		
3332	FAM117A	YES	
3333	FAM117B		
3334	FAM118A	YES	
3335	FAM118B		
3336	FAM120A	YES	
3337	FAM120AOS		
3338	FAM120B		
3339	FAM120C	YES	
3340	FAM122C		
3341	FAM123A		
3342	FAM123B		
3343	FAM124A		
3344	FAM125A		
3345	FAM125B	YES	
3346	FAM126A		
3347	FAM127A	YES	
3348	FAM127B	YES	
3349	FAM127C		
3350	FAM129A	YES	
3351	FAM129B		
3352	FAM129C		
3353	FAM131A	YES	
3354	FAM131B	YES	
3355	FAM133B		
3356	FAM134A	YES	
3357	FAM134C	YES	
3358	FAM135A		
3359	FAM136A	YES	
3360	FAM13C		
3361	FAM149A		
3362	FAM149B1		
3363	FAM150A		
3364	FAM150B		
3365	FAM151A		
3366	FAM151B		
3367	FAM154B		
3368	FAM155A		
3369	FAM156A		
3370	FAM157A		
3371	FAM159B		
3372	FAM160A1		
3373	FAM160A2		
3374	FAM160B2		
3375	FAM161A		
3376	FAM161B		
3377	FAM162A		
3378	FAM165B		
3379	FAM166A		
3380	FAM167A		
3381	FAM168A		
3382	FAM168B		
3383	FAM171A2		
3384	FAM172A		
3385	FAM173B		
3386	FAM175A		
3387	FAM176A		
3388	FAM177A1		
3389	FAM178A		
3390	FAM181A		
3391	FAM181B		
3392	FAM182B		
3393	FAM183A		
3394	FAM183B		
3395	FAM184B		
3396	FAM185A		
3397	FAM186B		
3398	FAM188B		
3399	FAM189A1		
3400	FAM189B		
3401	FAM18A		
3402	FAM18B1		
3403	FAM18B2		
3404	FAM192A		
3405	FAM193A		
3406	FAM193B		
3407	FAM194A		
3408	FAM195B		
3409	FAM196A		
3410	FAM198A		
3411	FAM199X		
3412	FAM19A5		
3413	FAM200A		
3414	FAM200B		
3415	FAM20B	YES	
3416	FAM20C		
3417	FAM21A		
3418	FAM21B		
3419	FAM21C		
3420	FAM22D		
3421	FAM27A		
3422	FAM27B		
3423	FAM27C		
3424	FAM32A	YES	
3425	FAM35A		
3426	FAM3A	YES	
3427	FAM3C	YES	
3428	FAM40A		
3429	FAM40B		
3430	FAM43A		
3431	FAM43B		
3432	FAM46A	YES	
3433	FAM46C	YES	
3434	FAM48A	YES	
3435	FAM49B	YES	
3436	FAM50A	YES	
3437	FAM53B	YES	
3438	FAM53C	YES	
3439	FAM54A		
3440	FAM54B		
3441	FAM57A	YES	
3442	FAM57B		
3443	FAM58A		
3444	FAM59B		
3445	FAM5B	YES	
3446	FAM5C	YES	
3447	FAM60A	YES	
3448	FAM63A	YES	
3449	FAM63B	YES	
3450	FAM64A	YES	
3451	FAM65A	YES	
3452	FAM65B		
3453	FAM69B		
3454	FAM70A	YES	
3455	FAM70B		
3456	FAM71A		
3457	FAM71E1		
3458	FAM71F1		
3459	FAM71F2		
3460	FAM72A		
3461	FAM72B		
3462	FAM72D		
3463	FAM73B		
3464	FAM76B		
3465	FAM81B		
3466	FAM82A1		
3467	FAM82A2		
3468	FAM82B	YES	
3469	FAM83D		
3470	FAM83E	YES	
3471	FAM83G		
3472	FAM83H		
3473	FAM84A		
3474	FAM84B		
3475	FAM86A		
3476	FAM86B1		
3477	FAM86B2		
3478	FAM86C1		
3479	FAM89A		
3480	FAM89B	YES	
3481	FAM91A1		
3482	FAM96A		
3483	FAM96B	YES	
3484	FAM98A	YES	
3485	FAM98B		
3486	FAM98C		
3487	FAN1		
3488	FANCA	YES	
3489	FANCB		
3490	FANCC	YES	
3491	FANCD2		
3492	FANCE	YES	
3493	FANCF	YES	
3494	FANCG	YES	
3495	FANCI	YES	
3496	FANCL		
3497	FANCM		
3498	FANK1		
3499	FAP	YES	
3500	FAR1		
3501	FAR2		
3502	FARP1	YES	
3503	FARP2	YES	
3504	FARS2	YES	
3505	FARSA	YES	
3506	FARSB		
3507	FAS	YES	
3508	FASN	YES	
3509	FASTK	YES	
3510	FASTKD1	YES	
3511	FASTKD2	YES	
3512	FASTKD3	YES	
3513	FASTKD5	YES	
3514	FAT1		
3515	FAT2	YES	
3516	FAT3		
3517	FAT4		
3518	FAU	YES	
3519	FBF1		
3520	FBL	YES	
3521	FBLIM1		
3522	FBLN1	YES	
3523	FBLN5	YES	
3524	FBLN7		
3525	FBN1	YES	
3526	FBN2	YES	
3527	FBN3		
3528	FBRS		
3529	FBRSL1		
3530	FBXL12	YES	
3531	FBXL13		
3532	FBXL17		
3533	FBXL18	YES	
3534	FBXL19		
3535	FBXL20		
3536	FBXL22		
3537	FBXL3		
3538	FBXL4	YES	
3539	FBXL6	YES	
3540	FBXL7	YES	
3541	FBXL8	YES	
3542	FBXO10		
3543	FBXO11	YES	
3544	FBXO15		
3545	FBXO17	YES	
3546	FBXO18		
3547	FBXO21	YES	
3548	FBXO22	YES	
3549	FBXO24	YES	
3550	FBXO25		
3551	FBXO28	YES	
3552	FBXO30		
3553	FBXO34	YES	
3554	FBXO36		
3555	FBXO38	YES	
3556	FBXO39		
3557	FBXO4		
3558	FBXO42	YES	
3559	FBXO43		
3560	FBXO45		
3561	FBXO46	YES	
3562	FBXO48		
3563	FBXO5	YES	
3564	FBXO6		
3565	FBXO7	YES	
3566	FBXO8		
3567	FBXO9	YES	
3568	FBXW10	YES	
3569	FBXW11	YES	
3570	FBXW2	YES	
3571	FBXW4	YES	
3572	FBXW5		
3573	FBXW8		
3574	FBXW9		
3575	FCF1	YES	
3576	FCGRT	YES	
3577	FCHO1	YES	
3578	FCHO2		
3579	FCHSD1		
3580	FCHSD2	YES	
3581	FCRLA		
3582	FDFT1	YES	
3583	FDPS		
3584	FDX1	YES	
3585	FDX1L		
3586	FDXACB1		
3587	FDXR	YES	
3588	FEM1A		
3589	FEM1C	YES	
3590	FEN1	YES	
3591	FER	YES	
3592	FER1L5		
3593	FERMT1		
3594	FERMT2		
3595	FETUB	YES	
3596	FEZ1	YES	
3597	FEZ2	YES	
3598	FGD1	YES	
3599	FGD4		
3600	FGF1	YES	
3601	FGF11		
3602	FGF12	YES	
3603	FGF14	YES	
3604	FGF2	YES	
3605	FGF5	YES	
3606	FGF7	YES	
3607	FGFBP3		
3608	FGFR1	YES	
3609	FGFR1OP	YES	
3610	FGFR1OP2		
3611	FGFR3	YES	Classical
